Entity,Code,Year,Moderate bleaching events (1-30% bleached),Severe bleaching events (>30% bleached)
Indian Ocean/Middle East,,2009,2,0
Indian Ocean/Middle East,,2010,1,13
Indian Ocean/Middle East,,2011,5,0
Indian Ocean/Middle East,,2012,1,0
Indian Ocean/Middle East,,2013,1,0
Indian Ocean/Middle East,,2014,2,0
Indian Ocean/Middle East,,2015,2,4
Indian Ocean/Middle East,,2016,4,15
Pacific,,1980,0,0
Pacific,,1981,0,0
Pacific,,1982,0,0
Pacific,,1983,1,5
Pacific,,1984,0,1
Pacific,,1985,0,0
Pacific,,1986,1,0
Pacific,,1987,0,4
Pacific,,1988,1,0
Pacific,,1989,0,0
Pacific,,1990,0,0
Pacific,,1991,0,3
Pacific,,1992,3,0
Pacific,,1993,0,0
Pacific,,1994,1,4
Pacific,,1995,2,0
Pacific,,1996,1,4
Pacific,,1997,1,1
Pacific,,1998,4,8
Pacific,,1999,1,0
Pacific,,2000,0,3
Pacific,,2001,3,1
Pacific,,2002,0,7
Pacific,,2003,2,2
Pacific,,2004,2,3
Pacific,,2005,2,1
Pacific,,2006,7,1
Pacific,,2007,0,2
Pacific,,2008,0,0
Pacific,,2009,1,2
Pacific,,2010,2,2
Pacific,,2011,1,0
Pacific,,2012,1,0
Pacific,,2013,0,2
Pacific,,2014,0,5
Pacific,,2015,2,8
Pacific,,2016,0,7
West Atlantic,,1980,2,0
West Atlantic,,1981,1,0
West Atlantic,,1982,1,0
West Atlantic,,1983,3,5
West Atlantic,,1984,0,0
West Atlantic,,1985,1,0
West Atlantic,,1986,1,0
West Atlantic,,1987,6,10
West Atlantic,,1988,6,2
West Atlantic,,1989,3,1
West Atlantic,,1990,7,4
West Atlantic,,1991,3,1
West Atlantic,,1992,2,1
West Atlantic,,1993,3,0
West Atlantic,,1994,2,0
West Atlantic,,1995,6,8
West Atlantic,,1996,2,0
West Atlantic,,1997,8,1
West Atlantic,,1998,7,13
West Atlantic,,1999,7,0
West Atlantic,,2000,5,0
West Atlantic,,2001,2,0
West Atlantic,,2002,4,0
West Atlantic,,2003,9,1
West Atlantic,,2004,5,0
West Atlantic,,2005,6,14
West Atlantic,,2006,6,1
West Atlantic,,2007,5,0
West Atlantic,,2008,4,1
West Atlantic,,2009,4,2
West Atlantic,,2010,10,7
West Atlantic,,2011,3,0
West Atlantic,,2012,2,0
West Atlantic,,2013,2,0
West Atlantic,,2014,3,0
West Atlantic,,2015,8,3
West Atlantic,,2016,0,0
World,OWID_WRL,1980,5,0
World,OWID_WRL,1981,2,0
World,OWID_WRL,1982,1,0
World,OWID_WRL,1983,8,14
World,OWID_WRL,1984,1,1
World,OWID_WRL,1985,1,0
World,OWID_WRL,1986,4,0
World,OWID_WRL,1987,7,19
World,OWID_WRL,1988,8,3
World,OWID_WRL,1989,3,1
World,OWID_WRL,1990,7,4
World,OWID_WRL,1991,3,5
World,OWID_WRL,1992,6,1
World,OWID_WRL,1993,4,1
World,OWID_WRL,1994,4,4
World,OWID_WRL,1995,9,9
World,OWID_WRL,1996,4,5
World,OWID_WRL,1997,12,2
World,OWID_WRL,1998,16,57
World,OWID_WRL,1999,10,0
World,OWID_WRL,2000,8,5
World,OWID_WRL,2001,11,1
World,OWID_WRL,2002,7,14
World,OWID_WRL,2003,18,5
World,OWID_WRL,2004,14,5
World,OWID_WRL,2005,19,21
World,OWID_WRL,2006,16,2
World,OWID_WRL,2007,11,5
World,OWID_WRL,2008,7,3
World,OWID_WRL,2009,10,4
World,OWID_WRL,2010,16,37
World,OWID_WRL,2011,11,3
World,OWID_WRL,2012,6,1
World,OWID_WRL,2013,5,3
World,OWID_WRL,2014,9,5
World,OWID_WRL,2015,14,16
World,OWID_WRL,2016,11,43
